iter	Passed	Remaining
0	17	17612
1	33	16566
2	44	14763
3	57	14271
4	72	14346
5	86	14306
6	102	14559
7	113	14013
8	127	14025
9	141	13977
10	154	13900
11	166	13699
12	179	13653
13	194	13698
14	207	13642
15	220	13590
16	233	13523
17	246	13425
18	257	13290
19	273	13378
20	287	13418
21	299	13329
22	314	13348
23	328	13354
24	360	14063
25	378	14193
26	392	14161
27	407	14155
28	421	14106
29	436	14102
30	450	14086
31	464	14066
32	480	14078
33	493	14018
34	505	13929
35	516	13822
36	527	13736
37	542	13728
38	556	13708
39	571	13706
40	586	13723
41	600	13692
42	615	13694
43	627	13626
44	643	13659
45	663	13751
46	679	13768
47	692	13731
48	705	13685
49	720	13691
50	739	13761
51	768	14001
52	788	14085
53	801	14033
54	816	14026
55	831	14024
56	847	14019
57	860	13978
58	876	13979
59	891	13970
60	905	13936
61	918	13899
62	933	13888
63	948	13875
64	962	13842
65	975	13802
66	986	13739
67	1001	13727
68	1015	13701
69	1030	13684
70	1047	13708
71	1068	13777
72	1081	13735
73	1095	13712
74	1126	13890
75	1142	13891
76	1158	13882
77	1170	13840
78	1183	13797
79	1196	13763
80	1210	13733
81	1224	13713
82	1240	13707
83	1255	13692
84	1276	13744
85	1299	13809
86	1319	13849
87	1354	14041
88	1370	14026
89	1384	14001
90	1400	13986
91	1426	14080
92	1447	14118
93	1471	14187
94	1493	14224
95	1510	14228
96	1532	14263
97	1554	14311
98	1584	14419
99	1611	14505
100	1632	14528
101	1657	14590
102	1678	14617
103	1699	14638
104	1721	14671
105	1747	14740
106	1772	14790
107	1787	14762
108	1809	14790
109	1830	14811
110	1852	14834
111	1872	14844
112	1895	14875
113	1912	14862
114	1928	14837
115	1949	14853
116	1963	14815
117	1978	14791
118	1994	14762
119	2011	14750
120	2025	14711
121	2041	14688
122	2057	14668
123	2071	14636
124	2088	14616
125	2104	14595
126	2120	14576
127	2136	14553
128	2151	14526
129	2166	14502
130	2182	14478
131	2197	14450
132	2209	14404
133	2229	14410
134	2267	14531
135	2281	14493
136	2295	14457
137	2307	14414
138	2322	14385
139	2337	14357
140	2350	14320
141	2363	14281
142	2377	14250
143	2393	14225
144	2408	14200
145	2421	14165
146	2436	14140
147	2450	14106
148	2464	14076
149	2479	14048
150	2494	14023
151	2515	14033
152	2533	14024
153	2547	13994
154	2561	13966
155	2576	13937
156	2589	13905
157	2603	13873
158	2618	13850
159	2633	13827
160	2655	13838
161	2678	13853
162	2693	13830
163	2707	13801
164	2720	13767
165	2736	13750
166	2751	13724
167	2766	13698
168	2779	13667
169	2793	13636
170	2808	13615
171	2822	13586
172	2827	13517
173	2841	13489
174	2855	13461
175	2871	13441
176	2885	13417
177	2899	13388
178	2913	13363
179	2927	13336
180	2939	13301
181	2952	13271
182	2967	13248
183	2982	13225
184	2996	13199
185	3012	13181
186	3025	13155
187	3041	13138
188	3056	13116
189	3070	13090
190	3082	13057
191	3097	13035
192	3114	13023
193	3127	12991
194	3143	12975
195	3158	12956
196	3173	12935
197	3209	12998
198	3225	12983
199	3240	12960
200	3247	12909
201	3263	12892
202	3279	12874
203	3293	12851
204	3308	12831
205	3322	12806
206	3334	12775
207	3350	12758
208	3363	12730
209	3381	12722
210	3396	12700
211	3410	12678
212	3432	12684
213	3449	12669
214	3465	12652
215	3481	12635
216	3495	12613
217	3510	12594
218	3525	12573
219	3538	12545
220	3547	12505
221	3564	12492
222	3569	12437
223	3582	12410
224	3599	12399
225	3636	12455
226	3649	12429
227	3669	12424
228	3692	12432
229	3706	12408
230	3721	12390
231	3735	12366
232	3748	12341
233	3764	12322
234	3777	12297
235	3791	12275
236	3806	12254
237	3820	12233
238	3836	12214
239	3850	12192
240	3865	12173
241	3877	12144
242	3894	12133
243	3909	12114
244	3922	12087
245	3938	12071
246	3950	12042
247	3965	12024
248	3980	12005
249	3994	11982
250	4007	11959
251	4021	11937
252	4033	11908
253	4046	11886
254	4060	11863
255	4075	11844
256	4089	11822
257	4104	11804
258	4118	11783
259	4136	11773
260	4171	11810
261	4186	11791
262	4200	11772
263	4214	11749
264	4229	11730
265	4243	11710
266	4257	11689
267	4272	11669
268	4286	11649
269	4298	11622
270	4311	11598
271	4322	11570
272	4337	11549
273	4355	11541
274	4374	11532
275	4390	11516
276	4401	11487
277	4412	11458
278	4424	11434
279	4436	11409
280	4454	11398
281	4467	11374
282	4479	11348
283	4495	11332
284	4509	11314
285	4523	11292
286	4535	11267
287	4549	11248
288	4573	11251
289	4614	11296
290	4630	11283
291	4644	11260
292	4658	11241
293	4675	11227
294	4689	11207
295	4706	11192
296	4721	11176
297	4735	11155
298	4749	11136
299	4764	11116
300	4777	11094
301	4791	11074
302	4804	11051
303	4819	11035
304	4835	11017
305	4848	10996
306	4863	10978
307	4877	10958
308	4889	10934
309	4906	10919
310	4918	10897
311	4929	10871
312	4945	10854
313	4958	10833
314	4973	10815
315	4988	10798
316	5000	10774
317	5014	10754
318	5026	10731
319	5041	10714
320	5047	10676
321	5061	10657
322	5075	10637
323	5108	10658
324	5129	10654
325	5146	10639
326	5160	10621
327	5173	10599
328	5188	10581
329	5203	10564
330	5214	10539
331	5229	10522
332	5243	10502
333	5258	10486
334	5277	10475
335	5294	10462
336	5309	10445
337	5324	10428
338	5339	10411
339	5354	10394
340	5370	10378
341	5385	10361
342	5399	10341
343	5409	10315
344	5424	10299
345	5438	10280
346	5453	10262
347	5468	10245
348	5482	10226
349	5495	10206
350	5512	10193
351	5531	10183
352	5549	10171
353	5562	10150
354	5577	10134
355	5590	10113
356	5604	10095
357	5619	10076
358	5632	10056
359	5646	10038
360	5661	10020
361	5676	10004
362	5691	9987
363	5706	9970
364	5718	9948
365	5733	9931
366	5750	9917
367	5765	9902
368	5780	9883
369	5795	9868
370	5809	9849
371	5826	9836
372	5843	9822
373	5857	9804
374	5873	9789
375	5888	9773
376	5903	9756
377	5917	9736
378	5928	9713
379	5943	9697
380	5957	9679
381	5971	9660
382	5988	9647
383	6005	9633
384	6021	9618
385	6042	9611
386	6076	9625
387	6094	9612
388	6109	9596
389	6124	9579
390	6140	9564
391	6155	9547
392	6179	9544
393	6210	9552
394	6233	9547
395	6256	9543
396	6280	9539
397	6299	9528
398	6317	9516
399	6333	9500
400	6349	9484
401	6368	9473
402	6388	9463
403	6405	9449
404	6426	9441
405	6443	9427
406	6471	9428
407	6494	9423
408	6520	9422
409	6539	9410
410	6559	9400
411	6581	9392
412	6603	9385
413	6619	9370
414	6637	9355
415	6652	9339
416	6670	9326
417	6686	9310
418	6704	9296
419	6721	9281
420	6735	9263
421	6753	9249
422	6769	9234
423	6785	9217
424	6798	9198
425	6813	9180
426	6827	9161
427	6842	9145
428	6857	9126
429	6872	9110
430	6889	9095
431	6904	9078
432	6920	9061
433	6935	9045
434	6951	9028
435	6965	9010
436	6978	8990
437	6990	8969
438	7005	8952
439	7033	8951
440	7064	8954
441	7080	8939
442	7094	8920
443	7109	8903
444	7126	8888
445	7143	8872
446	7153	8849
447	7168	8832
448	7184	8816
449	7200	8800
450	7214	8782
451	7229	8764
452	7244	8747
453	7256	8726
454	7269	8707
455	7285	8691
456	7301	8675
457	7315	8657
458	7330	8640
459	7344	8621
460	7359	8604
461	7373	8586
462	7387	8568
463	7404	8553
464	7419	8536
465	7437	8522
466	7461	8515
467	7478	8501
468	7494	8485
469	7508	8466
470	7524	8450
471	7538	8432
472	7553	8415
473	7568	8399
474	7585	8383
475	7600	8366
476	7613	8348
477	7626	8328
478	7640	8310
479	7655	8293
480	7670	8276
481	7684	8258
482	7699	8241
483	7713	8224
484	7727	8205
485	7743	8189
486	7759	8173
487	7774	8156
488	7786	8137
489	7801	8119
490	7815	8102
491	7831	8086
492	7846	8069
493	7861	8052
494	7874	8033
495	7890	8017
496	7905	8000
497	7920	7983
498	7936	7968
499	7951	7951
500	7969	7937
501	8009	7945
502	8020	7924
503	8032	7904
504	8051	7891
505	8069	7877
506	8084	7861
507	8095	7840
508	8112	7825
509	8126	7808
510	8142	7791
511	8157	7774
512	8172	7757
513	8186	7740
514	8200	7722
515	8213	7704
516	8229	7688
517	8244	7671
518	8259	7654
519	8272	7636
520	8287	7619
521	8300	7600
522	8316	7584
523	8332	7569
524	8349	7554
525	8365	7538
526	8380	7522
527	8400	7509
528	8418	7495
529	8434	7479
530	8448	7462
531	8460	7442
532	8474	7424
533	8485	7405
534	8500	7388
535	8515	7371
536	8531	7355
537	8546	7338
538	8561	7322
539	8574	7304
540	8589	7287
541	8604	7270
542	8615	7251
543	8629	7233
544	8643	7215
545	8658	7199
546	8674	7183
547	8688	7166
548	8703	7149
549	8720	7134
550	8734	7117
551	8749	7100
552	8765	7085
553	8779	7068
554	8794	7051
555	8809	7035
556	8823	7017
557	8836	6999
558	8850	6982
559	8865	6966
560	8881	6950
561	8896	6933
562	8911	6917
563	8950	6918
564	8968	6905
565	8990	6893
566	9003	6875
567	9017	6858
568	9033	6842
569	9049	6826
570	9063	6809
571	9078	6792
572	9091	6775
573	9107	6759
574	9122	6742
575	9137	6726
576	9148	6706
577	9161	6688
578	9176	6672
579	9192	6656
580	9206	6639
581	9221	6623
582	9237	6606
583	9250	6589
584	9264	6572
585	9277	6554
586	9293	6538
587	9310	6523
588	9325	6507
589	9341	6491
590	9365	6481
591	9386	6468
592	9396	6449
593	9412	6433
594	9429	6418
595	9444	6401
596	9459	6385
597	9475	6369
598	9491	6353
