iter	Logloss
0	0.6475135896
1	0.6073410006
2	0.574436764
3	0.5405556077
4	0.5148902731
5	0.4910704805
6	0.4703496642
7	0.4534671162
8	0.4382540016
9	0.4238391873
10	0.4119216584
11	0.4012385567
12	0.391854072
13	0.3839808667
14	0.3768053998
15	0.370993805
16	0.3664409352
17	0.3615583466
18	0.3568597699
19	0.3529304312
20	0.3499830437
21	0.3461162255
22	0.3431688253
23	0.340187849
24	0.3378317473
25	0.3352825223
26	0.333486927
27	0.3313423135
28	0.329652146
29	0.3277005479
30	0.3261243247
31	0.3244819784
32	0.3231978858
33	0.3216023913
34	0.3201130042
35	0.3187684144
36	0.3178233435
37	0.3165504553
38	0.3156661477
39	0.3147998142
40	0.3139403049
41	0.3130915706
42	0.3124714466
43	0.3118256878
44	0.3111685936
45	0.3104654589
46	0.309884686
47	0.3091746239
48	0.308353356
49	0.3078033786
50	0.3071737457
51	0.3065435336
52	0.3059933902
53	0.3052178668
54	0.3043909712
55	0.3037475198
56	0.3034136928
57	0.3029663347
58	0.3025695444
59	0.3023194637
60	0.3018087714
61	0.3014775148
62	0.3009610821
63	0.3003893954
64	0.3001130387
65	0.2995566865
66	0.2991986709
67	0.2988392231
68	0.2981455366
69	0.2977473663
70	0.297431471
71	0.2970269677
72	0.2968376656
73	0.2966271881
74	0.2962450715
75	0.2959174724
76	0.2955033815
77	0.295230174
78	0.2950394288
79	0.2947840926
80	0.2945806724
81	0.2943101475
82	0.2940899304
83	0.2937585597
84	0.2933070514
85	0.293026612
86	0.2928287957
87	0.2925607626
88	0.2923643219
89	0.2921492536
90	0.2919072256
91	0.2918283502
92	0.2915807313
93	0.2908910232
94	0.290602071
95	0.2903816091
96	0.2902251466
97	0.2900393196
98	0.2898711599
99	0.289744344
100	0.2895841383
101	0.2894539114
102	0.2892741748
103	0.2891288058
104	0.2889531427
105	0.2888345778
106	0.2886597389
107	0.288201045
108	0.2880835458
109	0.2879067976
110	0.2877097812
111	0.2872787934
112	0.2867980977
113	0.2866206681
114	0.2864818979
115	0.2862973116
116	0.2862613976
117	0.2862184875
118	0.2861006348
119	0.28605483
120	0.285939676
121	0.28577417
122	0.2855300201
123	0.2854256469
124	0.2852820829
125	0.2851386046
126	0.2850493794
127	0.2848933438
128	0.2848385636
129	0.2847358262
130	0.2842744611
131	0.2841474793
132	0.2840033133
133	0.2839095907
134	0.2838475651
135	0.28373789
136	0.2836264441
137	0.2834443625
138	0.2833511765
139	0.2831625304
140	0.2828460609
141	0.2828366065
142	0.2827820197
143	0.282735219
144	0.2825978486
145	0.282511314
146	0.2823984057
147	0.2821992738
148	0.2821577543
149	0.2821026191
150	0.282011091
151	0.2818447863
152	0.2817694175
153	0.2816986324
154	0.2815581193
155	0.2814399489
156	0.2813128891
157	0.2811946894
158	0.2809280514
159	0.2808112648
160	0.2807258034
161	0.2806360814
162	0.2805641097
163	0.2804252616
164	0.2803937481
165	0.2803668543
166	0.2802901322
167	0.2800410919
168	0.2799244478
169	0.2798372308
170	0.2797983696
171	0.2797053102
172	0.2796546973
173	0.2795644648
174	0.2794491445
175	0.27942955
176	0.27936943
177	0.2793506034
178	0.279291882
179	0.2791898757
180	0.2791751886
181	0.2790878243
182	0.2790548506
183	0.2790447986
184	0.2789241654
185	0.2788382291
186	0.2786645823
187	0.2786113183
188	0.2785602386
189	0.2784800535
190	0.2783178282
191	0.2782654999
192	0.2781136079
193	0.2780758061
194	0.2780343722
195	0.2779980222
196	0.2778937476
197	0.2778877978
198	0.2778524811
199	0.2776992995
200	0.2776214895
201	0.2772914277
202	0.2772115166
203	0.2771054354
204	0.2770450686
205	0.2770111614
206	0.2769524379
207	0.2769057673
208	0.2768643113
209	0.2767812978
210	0.2767459129
211	0.2767140024
212	0.2763513936
213	0.2762638266
214	0.2759714488
215	0.2759372649
216	0.2758148345
217	0.2757273842
218	0.2756104603
219	0.275564082
220	0.2754346188
221	0.2753648354
222	0.2752556371
223	0.2751787396
224	0.2750905479
225	0.275031053
226	0.2748777412
227	0.2748080007
228	0.2747779322
229	0.2746687889
230	0.2746402242
231	0.2746087731
232	0.2745884163
233	0.2745197439
234	0.2744239478
235	0.2743819389
236	0.2742657291
237	0.2740872847
238	0.2739251188
239	0.2738957672
240	0.2738410074
241	0.2736573124
242	0.2735628597
243	0.2735493015
244	0.2734821855
245	0.2733798502
246	0.2732455525
247	0.2732001647
248	0.2731093341
249	0.2730613893
250	0.2729396847
251	0.2727450117
252	0.2726491391
253	0.2726178568
254	0.2725198225
255	0.2724336175
256	0.272412577
257	0.2723377767
258	0.2722352694
259	0.27218219
260	0.272099694
261	0.2720024117
262	0.271914135
263	0.2718591697
264	0.2717118969
265	0.2716649664
266	0.2715912163
267	0.2712256906
268	0.2711447011
269	0.2708607504
270	0.2708489064
271	0.2707569139
272	0.2705102904
273	0.2704367687
274	0.2702943504
275	0.2702530366
276	0.2701525346
277	0.2700329734
278	0.2699615606
279	0.2698795305
280	0.2696884131
281	0.2695973945
282	0.2695657657
283	0.269363973
284	0.2692711448
285	0.2689761801
286	0.2689116448
287	0.2688623547
288	0.2688345063
289	0.2687845148
290	0.2686979175
291	0.268548319
292	0.2684057763
293	0.2683737041
294	0.2682948195
295	0.2682485277
296	0.268183679
297	0.2681569204
298	0.2681118335
299	0.2680541111
300	0.267896765
301	0.2677866679
302	0.2677606994
303	0.267743205
304	0.2676754292
305	0.2676592256
306	0.2676333111
307	0.2675797528
308	0.2675112509
309	0.2674198471
310	0.2674146937
311	0.2673893361
312	0.2673179343
313	0.2672421347
314	0.2671958345
315	0.2671776382
316	0.2671262619
317	0.266948748
318	0.2668822324
319	0.2668241934
320	0.2667137944
321	0.2666934325
322	0.2666035506
323	0.2665715818
324	0.2665691258
325	0.2665130969
326	0.2664974689
327	0.2663981223
328	0.2663337336
329	0.2663298726
330	0.2662597129
331	0.2661726285
332	0.2660926493
333	0.266027748
334	0.2659493786
335	0.265947355
336	0.2659049304
337	0.2658403657
338	0.2658221045
339	0.2657805853
340	0.2657253061
341	0.2656920674
342	0.2656755756
343	0.2656413808
344	0.2655501627
345	0.2653707963
346	0.2653473224
347	0.2653085706
348	0.2652147334
349	0.2651308052
350	0.2650523626
351	0.2650203544
352	0.2649883799
353	0.2649033454
354	0.2648547781
355	0.2648115629
356	0.2647399011
357	0.264707868
358	0.2646817348
359	0.2644444913
360	0.2644148794
361	0.2643337896
362	0.2643116248
363	0.2642537073
364	0.2642395115
365	0.2642152491
366	0.2641580826
367	0.2641417462
368	0.2641348782
369	0.2641195677
370	0.2640610141
371	0.264009472
372	0.2639771522
373	0.263950454
374	0.2639252187
375	0.2639192602
376	0.2638580327
377	0.2637954986
378	0.2637591556
379	0.2637430407
380	0.2637149752
381	0.2636778969
382	0.2636391942
383	0.2635730719
384	0.2635505328
385	0.2635384615
386	0.2634325622
387	0.263388848
388	0.2632970625
389	0.2632755583
390	0.2632566055
391	0.2632095707
392	0.263188622
393	0.2631354689
394	0.2631140621
395	0.2630991023
396	0.2630049462
397	0.2629628512
398	0.2629403645
399	0.2628087148
400	0.2627518809
401	0.2626622843
402	0.2626472923
403	0.2625649997
404	0.2625032519
405	0.2624785596
406	0.2624326868
407	0.262376261
408	0.2623661521
409	0.2622906896
410	0.2622462087
411	0.262208442
412	0.2621466056
413	0.2620360202
414	0.2619527512
415	0.2618881526
416	0.2618677451
417	0.2617827602
418	0.2617624627
419	0.2617057863
420	0.2616775792
421	0.2616282486
422	0.2615840839
423	0.2615603606
424	0.2615293367
425	0.2614823437
426	0.2614016802
427	0.261385331
428	0.2613515703
429	0.2613072532
430	0.261296071
431	0.261229749
432	0.2611672598
433	0.2610946438
434	0.2610435934
435	0.2609909137
436	0.2609498027
437	0.260933893
438	0.2608957924
439	0.2608858837
440	0.2607989529
441	0.2607258292
442	0.260709228
443	0.2606648842
444	0.2605881444
445	0.2605296102
446	0.2605157221
447	0.2604657568
448	0.2604369739
449	0.2603945013
450	0.2603834479
451	0.2603569509
452	0.2603159605
453	0.2602995869
454	0.2602895887
455	0.2602763695
456	0.2602543169
457	0.2602403542
458	0.2601790415
459	0.2601562405
460	0.2600402294
461	0.2599850637
462	0.2599755436
463	0.2599494815
464	0.2598404285
465	0.2598261296
466	0.2597809281
467	0.2597035761
468	0.2596247758
469	0.2596130952
470	0.2595736041
471	0.2595537776
472	0.2594844506
473	0.2594103964
474	0.2593738315
475	0.2593592122
476	0.2593127604
477	0.2592771036
478	0.2592589977
479	0.2592185641
480	0.2591847993
481	0.2591673717
482	0.2591272216
483	0.2591180068
484	0.2590824903
485	0.2590408981
486	0.2590047315
487	0.2589257853
488	0.2589000877
489	0.2588555546
490	0.2587934051
491	0.2587651003
492	0.2586905971
493	0.2586765256
494	0.2586525811
495	0.2586127197
496	0.2585653428
497	0.258531019
498	0.2585183115
499	0.2584740754
500	0.2584632059
501	0.2584326349
502	0.2584212422
503	0.2584026773
504	0.2583777552
505	0.2582774876
506	0.2582430104
507	0.2581765079
508	0.2581271162
509	0.258109874
510	0.2580950714
511	0.2580755825
512	0.2580635711
513	0.2580209917
514	0.2579882411
515	0.2579713181
516	0.257921737
517	0.2579080697
518	0.2578721052
519	0.257866741
520	0.2578459353
521	0.2578290779
522	0.2577515537
523	0.2577159165
524	0.2577039661
525	0.2576572357
526	0.2576351119
527	0.2576064692
528	0.2575933424
529	0.2575434907
530	0.2574494164
531	0.257388393
532	0.257379609
533	0.2573359682
534	0.2573229952
535	0.2572677001
536	0.257222054
537	0.2572144323
538	0.257173356
539	0.2571493826
540	0.2571241578
541	0.2571070931
542	0.2570683398
543	0.2570597742
544	0.2570227463
545	0.2569792544
546	0.2569699334
547	0.2569298108
548	0.2569143359
549	0.2568921437
550	0.2568393137
551	0.2568059302
552	0.256797872
553	0.2567305298
554	0.256696038
555	0.256669766
556	0.2566595854
557	0.2566233513
558	0.2565722064
559	0.2565094113
560	0.2565075616
561	0.2564775171
562	0.2564737403
563	0.2564115018
564	0.2563649274
565	0.2563199302
566	0.256273755
567	0.2562030607
568	0.2561562729
569	0.2561113289
570	0.2560937296
571	0.2560588065
572	0.2560152329
573	0.2559754825
574	0.2559643264
575	0.2558874434
576	0.2558422674
577	0.2557937717
578	0.2557574527
579	0.2557333266
580	0.2556925553
581	0.2556447656
582	0.2555926859
583	0.2555859008
584	0.2555643873
585	0.2555176183
586	0.2555057006
587	0.2554796186
588	0.255407468
589	0.2553596613
590	0.2553395399
591	0.2552805093
592	0.2552711636
593	0.2552421851
594	0.2552309408
595	0.2551791451
596	0.2551210568
597	0.2550618777
598	0.2550364686
599	0.2550153722
600	0.2549934873
601	0.2549674501
602	0.2549639967
603	0.2549428151
604	0.2549295175
605	0.2548636327
606	0.2548390471
607	0.2548275429
608	0.2547753796
609	0.2547575327
610	0.2546912593
611	0.2546545719
612	0.254635672
613	0.2546207043
614	0.254582252
615	0.2545660753
616	0.2545292244
617	0.2544766582
618	0.2544578122
619	0.2544221911
620	0.2544047018
621	0.2543741439
622	0.2543394153
623	0.2543170418
624	0.2542938932
625	0.2542766512
626	0.2542486308
627	0.2542267795
628	0.2542078983
629	0.2541981866
630	0.2541758717
631	0.2541109977
632	0.254056108
633	0.2540128041
634	0.2540002309
635	0.253979226
636	0.2539613998
637	0.2539006263
638	0.253885139
639	0.2538277775
640	0.2538148562
641	0.2537818463
642	0.2537487086
643	0.2537108499
644	0.2537014586
645	0.2536804431
646	0.2536264322
647	0.2536236842
648	0.2535949786
649	0.2535752045
650	0.2535320339
651	0.2535203778
652	0.2534699202
653	0.2534301207
654	0.2534081587
655	0.253332087
656	0.2532766192
657	0.2532599596
658	0.2532485055
659	0.2532355331
660	0.2532001275
661	0.2531431447
662	0.2530833703
663	0.2530723412
664	0.253065792
665	0.2530265914
666	0.2529960112
667	0.2529672861
668	0.2529180714
669	0.2528599291
670	0.2528458765
671	0.2528251711
672	0.2527933858
673	0.2527673666
674	0.252724367
675	0.2526791982
676	0.2526088438
677	0.2525785661
678	0.2525580422
679	0.2525326117
680	0.2525080217
681	0.2524708026
682	0.2524226883
683	0.2524124583
684	0.2523633404
685	0.2523394275
686	0.2523219421
687	0.2523134038
688	0.2522871813
689	0.252250739
690	0.2522462483
691	0.2521920077
692	0.2521547871
693	0.2521526142
694	0.2520961077
695	0.2520878945
696	0.2520620407
697	0.2520156788
698	0.252005108
699	0.251987712
700	0.2519668006
701	0.2518328491
702	0.2518270556
703	0.251778147
704	0.2517158485
705	0.2516749072
706	0.2516045641
707	0.2515370108
708	0.2514967909
709	0.251478767
710	0.2514510744
711	0.2513876878
712	0.2513770165
713	0.2513053983
714	0.2512697715
715	0.2512222393
716	0.2511771898
717	0.2511527724
718	0.2511409447
719	0.2510933505
720	0.2510554411
721	0.2509994465
722	0.2509831622
723	0.2509407971
724	0.2508954324
725	0.25084367
726	0.2508382733
727	0.2508212054
728	0.2507739595
729	0.2507490457
730	0.2507329109
731	0.2506957849
732	0.2506759729
733	0.2506534044
734	0.2505897511
735	0.2505501156
736	0.250543295
737	0.2505152166
738	0.250474903
739	0.2504668899
740	0.2504200409
741	0.2503854062
742	0.2503653329
743	0.2503253223
744	0.2502859092
745	0.2502683044
746	0.2502618227
747	0.2502154751
748	0.2502112677
749	0.2501713231
750	0.2501089786
751	0.2500726906
752	0.250053564
753	0.249998576
754	0.249989343
755	0.2499669888
756	0.2499309633
757	0.24990359
758	0.2498892101
759	0.2498248069
760	0.2497874515
761	0.2497846899
762	0.2497420327
763	0.2497039646
764	0.2496552215
765	0.2496241138
766	0.2495920681
767	0.2495578281
768	0.2495409481
769	0.249523223
770	0.2494518264
771	0.2494301607
772	0.2493885258
773	0.2493771713
774	0.2493386288
775	0.2493024869
776	0.2493017325
777	0.249284968
778	0.2492662051
779	0.2492340345
780	0.24917598
781	0.2491636649
782	0.2491023584
783	0.249061366
784	0.2490223083
785	0.2489967975
786	0.2489673218
787	0.2489419115
788	0.2489332089
789	0.2488736874
790	0.2488393349
791	0.2488286382
792	0.2488204982
793	0.2487854445
794	0.248770495
795	0.2487407822
796	0.2487153851
797	0.2486933702
