iter	Passed	Remaining
0	36	36735
1	72	36349
2	105	35112
3	136	33846
4	163	32471
5	188	31139
6	215	30535
7	243	30181
8	268	29539
9	295	29155
10	320	28778
11	348	28599
12	371	28114
13	394	27720
14	419	27513
15	449	27612
16	479	27645
17	507	27635
18	534	27548
19	563	27558
20	590	27485
21	620	27521
22	648	27479
23	676	27469
24	703	27388
25	731	27351
26	763	27475
27	794	27532
28	827	27664
29	855	27609
30	889	27739
31	928	28042
32	959	28063
33	996	28246
34	1030	28346
35	1058	28277
36	1085	28197
37	1118	28244
38	1146	28190
39	1176	28185
40	1207	28188
41	1235	28129
42	1261	28015
43	1292	28023
44	1322	28007
45	1349	27932
46	1380	27937
47	1406	27839
48	1434	27787
49	1467	27825
50	1495	27776
51	1524	27732
52	1552	27675
53	1585	27711
54	1616	27724
55	1647	27720
56	1676	27670
57	1706	27651
58	1734	27610
59	1764	27580
60	1793	27552
61	1819	27463
62	1854	27526
63	1890	27586
64	1923	27602
65	1956	27626
66	1987	27622
67	2017	27592
68	2048	27579
69	2077	27536
70	2108	27528
71	2139	27514
72	2167	27459
73	2195	27415
74	2226	27396
75	2256	27374
76	2290	27396
77	2323	27408
78	2353	27382
79	2381	27330
80	2410	27285
81	2437	27224
82	2463	27162
83	2490	27096
84	2512	26991
85	2536	26895
86	2561	26826
87	2588	26763
88	2608	26641
89	2633	26569
90	2655	26471
91	2679	26388
92	2701	26286
93	2727	26229
94	2752	26164
95	2777	26094
96	2811	26111
97	2834	26031
98	2860	25979
99	2889	25946
100	2917	25911
101	2941	25836
102	2966	25775
103	2990	25710
104	3015	25649
105	3038	25573
106	3067	25539
107	3093	25495
108	3121	25458
109	3156	25482
110	3194	25524
111	3228	25541
112	3257	25513
113	3287	25495
114	3316	25463
115	3343	25422
116	3361	25310
117	3386	25257
118	3417	25241
119	3450	25244
120	3477	25204
121	3509	25200
122	3537	25161
123	3564	25126
124	3593	25097
125	3618	25045
126	3643	24988
127	3668	24937
128	3692	24874
129	3716	24816
130	3748	24805
131	3772	24747
132	3792	24665
133	3821	24638
134	3847	24594
135	3872	24545
136	3895	24482
137	3919	24426
138	3942	24366
139	3965	24305
140	3991	24259
141	3999	24112
142	4023	24054
143	4043	23979
144	4068	23933
145	4094	23895
146	4121	23861
147	4146	23813
148	4170	23765
149	4196	23725
150	4224	23696
151	4249	23651
152	4276	23617
153	4298	23555
154	4324	23518
155	4347	23466
156	4372	23419
157	4397	23377
